Kingdom,Phylum,Class,Order,Family,Genus,Aerotolerance,Aerotolerance_cat,Reference,Comments,Citation_link
Bacteria,Firmicutes,Clostridia,Oscillospirales,[Clostridium] methylpentosum group,Other, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,Other, ,unknown,NA,NA,NA
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,Other, ,unknown,NA,NA,NA
Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,Other, ,unknown,NA,NA,NA
Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,A,aerotolerant,"Tahon et al., 2018",NA,https://www.sciencedirect.com/science/article/abs/pii/S0723202018300341?via%3Dihub
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,A,aerotolerant,"Johnson et al., 2006",NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidisoma,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA/A,aerotolerant,Bergey's manual,NA,NA
,,,,Acetobacteraceae,Belnapia,A,aerotolerant,Bergey's Manual,Based on Acetobacteraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Endobacter,A,aerotolerant,Bergey's Manual,Based on Acetobacteraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Other,A,aerotolerant,Bergey's Manual,Based on Acetobacteraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum,A,aerotolerant,Bergey's Manual,Based on Acetobacteraceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,A,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,OAN,nonaerotolerant,Bergey's Manual,NA,NA
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Other, ,unknown,NA,NA,NA
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,OAN,nonaerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual; same for both genera except spore formation is unknown for Acidipila but NSF for Silvibacterium,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Edaphobacter,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's Manual,NA,NA
